id,county,category,Organization,address,Website,Phone number,Notes,country,lat,long
4,Monroe,Health Care Access,Guidance/Care Center,"1205 4th Street, Key West, Florida, 33040",www.guidancecarecenter.org,305-434-7660,"Wellness, health screening, health physicals and preventative care",US,24.56053588771752,-81.779936583417
6,Monroe,Health Care Access,Lower Keys Medical Center,"5900 College Rd, Key West, Florida, 33040",www.lkmc.com,305-294-5531,"Emergency, Urgent care, testing ahd health screening.",US,24.5809017,-81.74295990405312
7,Monroe,Health Care Access,"Womankind, Inc","1511 Truman Ave, Key West, Florida, 33040",www.womankindkeywest.com,305-294-4004,"Health Clinic and screening, family planning, gynecolog services, STD, education.",US,24.557901469387755,-81.78857346938776
8,Monroe,Health Care Access,Visiting Nurse Association & Hospice of the Florida Key,"1319 William Street, Key West, Florida, 33040",vnahospickeys.org,305-294-8812,"Home health care, physical therapy",US,24.550464761123536,-81.79305831709937
10,Monroe,Health Care Access,Mariners Hospital,"91500 Overseas Hwy, Tavernier, Florida, 33070",www.baptishealth.net,305-454-3000,"Emergency,Urgent Care, Care and Health Screening",US,25.0061577,-80.52213744220364
12,Monroe,Finacial Support,Key West Housing Authority,"1400 Kennedy Drive, Key West, Florida, 33040",www.kwha.org,305-294-6266,Housing,US,24.56365048308976,-81.76675098158702
15,Monroe,Finacial Support,Knot Shelter,"5537 College Road, Key West, Florida, 33040",www.shelterlistings.org,305-292-2744,Housing,US,24.576339139835497,-81.74942328707404
17,Monroe,Finacial Support,Catholic Charities,"2409 N Roosevelt Blvd, Key West, Florida, 33040",www.ccadm.org,305-292-9790,Emergency Shelter,US,24.562733489361705,-81.77695480851064
20,Monroe,Finacial Support,Florida Keys Outreach Coalition,"3154 Northside Drive, Key West, Florida, 33040",www.fkoc.org,305-296-8937 Woman 305-295-7582 Men,"Emergency Shelter, Parmanent Supportive housing programs",US,24.567073705610586,-81.76707139566722
21,Monroe,Finacial Support,Guidance/ Care Center: Heron House:,"3000 Ocean Terr, Marathon, Florida, 33050",www.guidancecarecenter.org,305-434-7660,Assisted living for adults with chronic metal illness,US,24.7226575,-81.0500478
23,Monroe,Finacial Support,Independence Cay,"1669 Overseas Hwy, Marathon, Florida, 33050",www.kaironline.net,305-743-4582,Emergency Shelter for Men,US,24.708485,-81.107268
25,Monroe,Finacial Support,Volunteers of America,"1619 Truesdell Ct #, Key West, Florida, 33040",www.voaflorida.org/key-West,305-395-2726,"Housing, Education, financial",US,24.565661456852634,-81.76049014720823
26,Monroe,Finacial Support,Big Pine United Methodist Church,"280 Key Deer Blvd, Big Pine Key, Florida, 33043",www.bigpineumc.org,305-872-2470,Food Assistance,US,24.673337508739888,-81.35865297996541
27,Monroe,Neighborhood,"Burton Memorial Church, Inc","93001 Overseas Hwy, Tavernier, Florida, 33070",www.bmumc.net,305-852-2581,Food Assistance,US,25.0092936,-80.5170259
28,Monroe,Neighborhood,First Baptist Church of Islamorada,"81201 Overseas Hwy, Islamorada, Florida, 33036",www.fbcislamorada.org,305-664-4910,Food Assistance,US,24.8882455,-80.6788165
29,Monroe,Neighborhood,First Baptist Church of Key Largo,"99001 Overseas Hwy, Key Largo, Florida, 33037",www.fbckl.com,305-451-2265,Food Assistance,US,25.088707181956426,-80.44614337550317
30,Monroe,Neighborhood,Florida Keys Outreach Coalition - Loaves & Fish Food Pantry:,"2221 Patterson Ave, Key West, Florida, 33040",www.fkoc.org/food pantry,305-295-7580,Food Assistance,US,24.560054521228928,-81.77928605786727
31,Monroe,Neighborhood,Glad Tidings Community Church,"1209 United St, Key West, Florida, 33040",www.gladtidingskeywest.com,305-296-5773,Food Assistance,US,24.553499645077743,-81.78897622829517
32,Monroe,Neighborhood,Keys Area Interdenominational Resources (KAIR),"3010 Overseas Hwy, Marathon, Florida, 33050",www.kaironline.net,305-743-4582,Emergency food,US,24.710691421392607,-81.0967691420444
33,Monroe,Neighborhood,Metropolitan Community Church,"1215 Petronia St, Key West, Florida, 33040",www.mcckeywest.com,305-294-8912,Emergency food,US,24.558169489321056,-81.79240053960591
34,Monroe,Neighborhood,Monroe County Nutrition Program,"1100 Simonton street, Key West, Florida, 33040",monroe.floridahealth.gov,305-292-4522,Meals for adults age 60 or older,US,24.550642225584035,-81.79709974687206
35,Monroe,Neighborhood,Monroe County Social Services,"88820 Overseas Hwy, Tavernier, Florida, 33070",www.monroecounty-fl.gov,305-852-7125,Emergency food,US,25.0092936,-80.5170259
37,Monroe,Neighborhood,St. Mary’s Soup Kitchen,"2706 Flagler Ave, Key West, Florida, 33040",www.stmarykeywest.com,305-294-2272,Daily hot dinner,US,24.559458291690508,-81.77160395612384
38,Monroe,Neighborhood,St. Peter Catholic Church,"31300 Overseas Hwy, Big Pine Key, Florida, 33043",www.stepterbpk.org,305-872-2537,Emergency food,US,24.668027,-81.341973
42,Monroe,Neighborhood,Florida Department of Health in Monroe County,"1100 Simonton street, Key West, Florida, 33040",monroe.floridahealth.gov,305-293-7500,WIC,US,24.550642225584035,-81.79709974687206
